iter	Passed	Remaining
679	11838	14275
680	11851	14252
681	11866	14233
682	11879	14210
683	11896	14192
684	11910	14170
685	11923	14148
686	11936	14126
687	11948	14102
688	11960	14078
689	11974	14057
690	11990	14038
691	12005	14018
692	12020	13997
693	12035	13978
694	12049	13956
695	12064	13936
696	12079	13916
697	12097	13899
698	12111	13879
699	12124	13856
700	12137	13834
701	12150	13812
702	12162	13788
703	12175	13766
704	12187	13742
705	12201	13722
706	12216	13702
707	12231	13682
708	12246	13662
709	12258	13639
710	12270	13616
711	12287	13599
712	12302	13579
713	12316	13558
714	12332	13539
715	12343	13516
716	12354	13492
717	12369	13472
718	12380	13448
719	12393	13426
720	12408	13406
721	12424	13388
722	12438	13367
723	12451	13346
724	12465	13324
725	12476	13301
726	12489	13280
727	12502	13258
728	12514	13235
729	12527	13214
730	12542	13194
731	12556	13174
732	12569	13152
733	12581	13130
734	12594	13108
735	12606	13086
736	12619	13064
737	12631	13042
738	12644	13020
739	12656	12998
740	12670	12978
741	12685	12958
742	12698	12937
743	12712	12917
744	12725	12896
745	12736	12873
746	12750	12853
747	12764	12832
748	12777	12811
749	12790	12790
750	12802	12768
751	12813	12745
752	12825	12722
753	12837	12701
754	12850	12680
755	12861	12657
756	12873	12635
757	12886	12614
758	12899	12593
759	12912	12572
760	12924	12551
761	12936	12528
762	12947	12506
763	12958	12483
764	12969	12461
765	12981	12438
766	12992	12416
767	13014	12404
768	13029	12385
769	13041	12363
770	13054	12343
771	13068	12324
772	13083	12305
773	13096	12284
774	13110	12264
775	13126	12246
776	13140	12227
777	13155	12208
778	13166	12186
779	13179	12165
780	13191	12143
781	13204	12123
782	13216	12102
783	13229	12082
784	13241	12060
785	13255	12041
786	13267	12020
787	13278	11997
788	13289	11975
789	13305	11957
790	13316	11935
791	13327	11914
792	13339	11893
793	13354	11874
794	13366	11853
795	13378	11832
796	13391	11811
797	13404	11791
798	13417	11771
799	13430	11751
800	13443	11731
801	13463	11717
802	13481	11702
803	13496	11683
804	13510	11664
805	13525	11645
806	13539	11627
807	13553	11607
808	13570	11590
809	13585	11572
810	13599	11553
811	13613	11534
812	13626	11514
813	13639	11494
814	13655	11477
815	13669	11458
816	13680	11437
817	13701	11423
818	13714	11403
819	13726	11382
820	13738	11362
821	13751	11342
822	13764	11322
823	13777	11302
824	13789	11281
825	13800	11261
826	13812	11240
827	13824	11219
828	13844	11205
829	13860	11188
830	13876	11171
831	13892	11154
832	13907	11136
833	13921	11116
834	13934	11097
835	13949	11079
836	13962	11060
837	13975	11040
838	13987	11020
839	14000	11000
840	14012	10979
841	14024	10960
842	14036	10939
843	14050	10920
844	14064	10902
845	14078	10883
846	14091	10863
847	14104	10844
848	14117	10824
849	14129	10804
850	14141	10784
851	14154	10765
852	14168	10747
853	14182	10727
854	14193	10707
855	14204	10686
856	14216	10666
857	14230	10647
858	14241	10627
859	14254	10607
860	14269	10590
861	14287	10574
862	14307	10560
863	14319	10540
864	14334	10522
865	14346	10503
866	14359	10483
867	14371	10463
868	14383	10443
869	14397	10425
870	14415	10410
871	14429	10391
872	14440	10371
873	14451	10351
874	14463	10330
875	14475	10311
876	14489	10292
877	14503	10274
878	14517	10256
879	14530	10237
880	14542	10218
881	14557	10200
882	14569	10180
883	14581	10160
884	14595	10142
885	14610	10125
886	14627	10108
887	14644	10092
888	14657	10074
889	14668	10053
890	14680	10034
891	14692	10014
892	14707	9997
893	14721	9978
894	14733	9959
895	14748	9941
896	14759	9921
897	14771	9902
898	14784	9883
899	14796	9864
900	14807	9844
901	14822	9826
902	14838	9810
903	14853	9792
904	14871	9777
905	14885	9759
906	14898	9740
907	14912	9722
908	14927	9705
909	14944	9688
910	14959	9672
911	14976	9655
912	14988	9636
913	15002	9618
914	15017	9601
915	15029	9582
916	15042	9563
917	15054	9544
918	15066	9525
919	15080	9507
920	15096	9490
921	15108	9471
922	15120	9452
923	15133	9433
924	15144	9414
925	15157	9395
926	15171	9377
927	15184	9359
928	15199	9341
929	15212	9323
930	15226	9305
931	15240	9288
932	15254	9270
933	15268	9252
934	15280	9233
935	15292	9214
936	15303	9195
937	15314	9175
938	15334	9161
939	15353	9146
940	15369	9130
941	15385	9113
942	15402	9097
943	15417	9080
944	15430	9062
945	15442	9043
946	15455	9025
947	15466	9005
948	15478	8986
949	15493	8969
950	15505	8950
951	15516	8931
952	15529	8913
953	15541	8895
954	15555	8877
955	15567	8858
956	15579	8839
957	15591	8821
958	15602	8802
959	15614	8782
960	15624	8763
961	15635	8744
962	15650	8727
963	15665	8710
964	15676	8691
965	15688	8672
966	15700	8653
967	15712	8635
968	15724	8616
969	15735	8598
970	15746	8578
971	15759	8560
972	15771	8542
973	15785	8525
974	15797	8506
975	15810	8488
976	15822	8470
977	15834	8451
978	15846	8433
979	15858	8414
980	15871	8397
981	15887	8380
982	15901	8363
983	15916	8346
984	15930	8329
985	15945	8312
986	15960	8295
987	15971	8276
988	15984	8258
989	16000	8242
990	16018	8227
991	16034	8211
992	16048	8193
993	16060	8175
994	16073	8157
995	16086	8140
996	16106	8125
997	16124	8110
998	16142	8095
999	16155	8077
1000	16167	8059
1001	16181	8042
1002	16195	8024
1003	16210	8008
1004	16224	7991
1005	16243	7976
1006	16261	7961
1007	16275	7943
1008	16288	7926
1009	16304	7910
1010	16319	7893
1011	16334	7876
1012	16353	7861
1013	16370	7846
1014	16385	7829
1015	16400	7812
1016	16414	7795
1017	16431	7779
1018	16445	7762
1019	16461	7746
1020	16482	7732
1021	16500	7717
1022	16513	7699
1023	16524	7681
1024	16538	7664
1025	16551	7646
1026	16571	7632
1027	16588	7616
1028	16602	7599
1029	16613	7581
1030	16625	7562
1031	16638	7545
1032	16650	7527
1033	16662	7509
1034	16673	7490
1035	16686	7473
1036	16698	7455
1037	16708	7436
1038	16720	7418
1039	16736	7402
1040	16748	7384
1041	16761	7367
1042	16773	7349
1043	16784	7331
1044	16797	7313
1045	16811	7296
1046	16823	7278
1047	16835	7261
1048	16847	7243
1049	16859	7225
1050	16871	7207
1051	16883	7189
1052	16894	7171
1053	16905	7153
1054	16917	7135
1055	16930	7118
1056	16942	7100
1057	16956	7083
1058	16968	7066
1059	16979	7047
1060	16990	7030
1061	17002	7012
1062	17016	6995
1063	17028	6978
1064	17043	6961
1065	17054	6943
1066	17066	6925
1067	17077	6907
1068	17088	6889
1069	17100	6871
1070	17114	6855
1071	17125	6837
1072	17138	6820
1073	17151	6803
1074	17168	6787
1075	17182	6770
1076	17199	6755
1077	17212	6738
1078	17225	6720
1079	17237	6703
1080	17249	6686
1081	17264	6669
1082	17277	6652
1083	17290	6635
1084	17301	6617
1085	17313	6600
1086	17325	6582
1087	17336	6564
1088	17347	6547
1089	17359	6529
1090	17373	6513
1091	17388	6496
1092	17402	6480
1093	17414	6462
1094	17427	6445
1095	17438	6427
1096	17451	6411
1097	17463	6393
1098	17476	6376
1099	17488	6359
1100	17507	6344
1101	17519	6327
1102	17530	6309
1103	17541	6292
1104	17553	6274
1105	17604	6271
1106	17674	6274
1107	17708	6264
1108	17747	6257
1109	17762	6240
1110	17779	6225
1111	17793	6208
1112	17806	6191
1113	17820	6174
1114	17835	6158
1115	17848	6141
1116	17867	6126
1117	17880	6109
1118	17895	6093
1119	17909	6076
1120	17920	6058
1121	17940	6043
1122	17954	6027
1123	17967	6010
1124	18003	6001
1125	18017	5984
1126	18036	5969
1127	18064	5957
1128	18081	5941
1129	18098	5926
1130	18115	5910
1131	18134	5895
1132	18155	5881
1133	18181	5868
1134	18207	5855
1135	18230	5841
1136	18246	5825
1137	18265	5810
1138	18283	5794
1139	18301	5779
1140	18323	5765
1141	18340	5749
1142	18359	5734
1143	18376	5718
1144	18393	5702
1145	18418	5689
1146	18438	5674
1147	18454	5658
1148	18470	5642
1149	18486	5626
1150	18502	5610
1151	18516	5593
1152	18533	5577
1153	18552	5562
1154	18567	5546
1155	18583	5529
1156	18599	5514
1157	18615	5497
1158	18628	5480
1159	18642	5464
1160	18653	5446
1161	18666	5429
1162	18686	5414
1163	18703	5398
1164	18722	5383
1165	18740	5368
1166	18762	5353
1167	18780	5338
1168	18794	5321
1169	18808	5304
1170	18825	5289
1171	18839	5272
1172	18853	5255
1173	18868	5239
1174	18883	5223
1175	18899	5207
1176	18916	5191
1177	18932	5175
1178	18947	5158
1179	18963	5142
1180	18983	5127
1181	19002	5112
1182	19018	5096
1183	19031	5079
1184	19046	5063
1185	19063	5047
1186	19079	5031
1187	19095	5015
1188	19112	4999
1189	19129	4983
1190	19146	4967
1191	19165	4952
1192	19186	4937
1193	19206	4922
1194	19220	4905
1195	19238	4890
1196	19262	4876
1197	19279	4860
1198	19298	4844
1199	19320	4830
1200	19345	4816
1201	19374	4803
1202	19399	4789
1203	19418	4773
1204	19443	4759
1205	19467	4745
1206	19484	4729
1207	19501	4713
1208	19515	4697
1209	19527	4680
1210	19539	4663
1211	19553	4646
1212	19570	4630
1213	19583	4613
1214	19597	4596
1215	19610	4580
1216	19622	4563
1217	19634	4545
1218	19645	4528
1219	19657	4511
1220	19671	4494
1221	19684	4478
1222	19695	4460
1223	19709	4444
1224	19722	4427
1225	19733	4410
1226	19745	4393
1227	19756	4376
1228	19769	4359
1229	19787	4343
1230	19799	4326
1231	19813	4310
1232	19826	4293
1233	19838	4276
1234	19854	4260
1235	19867	4243
1236	19879	4226
1237	19892	4209
1238	19906	4193
1239	19922	4177
1240	19934	4160
1241	19947	4143
1242	19960	4126
1243	19973	4110
1244	19985	4093
1245	20005	4078
1246	20017	4061
1247	20036	4045
1248	20049	4029
1249	20062	4012
1250	20076	3996
1251	20089	3979
1252	20103	3963
1253	20117	3946
1254	20133	3930
1255	20147	3913
1256	20162	3897
1257	20175	3881
1258	20188	3864
1259	20201	3847
1260	20218	3832
1261	20236	3816
1262	20252	3800
1263	20266	3783
1264	20279	3767
1265	20292	3750
1266	20306	3734
1267	20323	3718
1268	20339	3702
1269	20353	3686
1270	20369	3670
1271	20384	3653
1272	20398	3637
1273	20414	3621
1274	20428	3605
1275	20444	3588
1276	20460	3573
1277	20473	3556
1278	20491	3540
1279	20504	3524
1280	20519	3508
1281	20532	3491
1282	20547	3475
1283	20559	3458
1284	20573	3442
1285	20584	3425
1286	20603	3409
1287	20615	3393
1288	20628	3376
1289	20641	3360
1290	20653	3343
1291	20664	3326
1292	20675	3310
1293	20687	3293
1294	20700	3276
1295	20713	3260
1296	20725	3243
1297	20737	3227
1298	20748	3210
1299	20760	3193
1300	20771	3177
1301	20784	3160
1302	20796	3144
1303	20808	3127
1304	20824	3111
1305	20839	3095
1306	20856	3079
1307	20868	3063
1308	20879	3046
1309	20890	3029
1310	20902	3013
1311	20914	2996
1312	20926	2980
1313	20938	2963
1314	20954	2947
1315	20967	2931
1316	20979	2915
1317	20991	2898
1318	21003	2882
1319	21016	2865
1320	21028	2849
1321	21040	2832
1322	21051	2816
1323	21063	2799
1324	21074	2783
1325	21087	2767
1326	21102	2751
1327	21115	2734
1328	21128	2718
1329	21138	2701
1330	21150	2685
1331	21163	2669
1332	21176	2653
1333	21190	2636
1334	21200	2620
1335	21211	2603
1336	21222	2587
1337	21233	2570
1338	21245	2554
1339	21258	2538
1340	21271	2522
1341	21287	2506
1342	21301	2490
1343	21316	2474
1344	21329	2458
1345	21340	2441
1346	21351	2425
1347	21363	2408
1348	21377	2392
1349	21396	2377
1350	21409	2361
1351	21423	2345
1352	21438	2329
1353	21451	2313
1354	21465	2297
1355	21478	2280
1356	21490	2264
1357	21504	2248
1358	21520	2232
1359	21534	2216
1360	21547	2200
1361	21560	2184
1362	21572	2168
1363	21583	2152
1364	21595	2135
1365	21607	2119
1366	21624	2103
1367	21636	2087
1368	21648	2071
1369	21660	2055
1370	21672	2039
1371	21683	2022
1372	21696	2006
1373	21707	1990
1374	21719	1974
1375	21731	1958
1376	21749	1942
1377	21762	1926
1378	21776	1910
1379	21789	1894
1380	21803	1878
1381	21816	1862
1382	21829	1846
1383	21842	1830
1384	21855	1814
1385	21876	1799
1386	21888	1783
1387	21902	1767
1388	21916	1751
1389	21929	1735
1390	21942	1719
1391	21957	1703
1392	21970	1687
1393	21983	1671
1394	21997	1655
1395	22013	1639
1396	22033	1624
1397	22053	1609
1398	22066	1593
1399	22080	1577
1400	22095	1561
1401	22118	1546
1402	22131	1530
1403	22144	1514
1404	22157	1498
1405	22171	1482
1406	22185	1466
1407	22197	1450
1408	22213	1434
1409	22228	1418
1410	22242	1402
1411	22256	1387
1412	22269	1371
1413	22281	1355
1414	22296	1339
1415	22308	1323
1416	22328	1307
1417	22350	1292
1418	22369	1276
1419	22384	1261
1420	22395	1245
1421	22409	1229
1422	22425	1213
1423	22440	1197
1424	22454	1181
1425	22475	1166
1426	22496	1150
1427	22508	1134
1428	22526	1119
1429	22542	1103
1430	22558	1087
1431	22574	1071
1432	22593	1056
1433	22608	1040
1434	22623	1024
1435	22638	1008
1436	22656	993
1437	22670	977
1438	22691	961
1439	22705	946
1440	22719	930
1441	22736	914
1442	22750	898
1443	22766	882
1444	22789	867
1445	22808	851
1446	22822	835
1447	22838	820
1448	22853	804
1449	22868	788
1450	22884	772
1451	22901	757
1452	22918	741
1453	22936	725
1454	22960	710
1455	22981	694
1456	22999	678
1457	23012	662
1458	23028	647
1459	23042	631
1460	23056	615
1461	23068	599
1462	23080	583
1463	23092	567
1464	23105	552
1465	23121	536
1466	23136	520
1467	23150	504
1468	23165	488
1469	23178	473
1470	23193	457
1471	23204	441
1472	23218	425
1473	23231	409
1474	23247	394
1475	23268	378
1476	23283	362
1477	23297	346
1478	23311	330
1479	23323	315
1480	23336	299
1481	23350	283
1482	23366	267
1483	23380	252
1484	23392	236
1485	23405	220
1486	23418	204
1487	23430	188
1488	23441	173
1489	23453	157
1490	23470	141
1491	23484	125
1492	23497	110
1493	23513	94
1494	23526	78
1495	23540	62
1496	23555	47
1497	23569	31
1498	23583	15
1499	23605	0
