STAT_ID,Latitude,Longitude,geometry,sc,ss,su,mt,va,vb,vi,pa,pb,pi,GLC_Artificial,GLC_Managed,GLC_Water,GLC_Aquatic_Veg,GLC_PERC_COV,Popdens_00,Soil_pH,SOC,Soil_wetness
400064,-24.24,28.97,POINT (28.97 -24.24),0.0,0.5,0.0,0.0049616294285,0.13,0.2,0.0,0.08,0.05,0.0,0.005055147,0.41,0.0009446487,0.0,100.0,15.83,6.77,3.14,22.95
400065,-24.49,28.54,POINT (28.54 -24.49),0.0,0.18,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,100.0,2.7,6.57,3.01,19.61
400066,-24.47,28.68,POINT (28.68 -24.47),0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.32,0.0,0.0,100.0,8.6,6.76,3.19,19.32
400067,-24.48,28.66,POINT (28.66 -24.48),0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.31,0.0,0.0,100.0,8.09,6.81,3.22,19.23
400068,-24.7,28.42,POINT (28.42 -24.7),0.0,0.84,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.04,0.37,0.002083333,0.0,100.0,61.69,6.74,2.89,30.24
400069,-23.87,28.68,POINT (28.68 -23.87),0.02,0.39,0.0,0.06,0.11,0.12,0.0,0.16,0.1,0.0,0.007741388,0.38,0.002387114,0.0,100.0,44.52,6.68,3.27,22.08
400070,-26.29,28.2,POINT (28.2 -26.29),0.11,0.58,0.0,0.12,0.0,0.17,0.0,0.0,0.0,0.0,0.91,0.01,0.01,0.0,100.0,1237.6,6.46,3.78,59.59
400071,-26.5,29.44,POINT (29.44 -26.5),0.0,0.54,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,100.0,91.08,7.44,4.34,64.49
400072,-26.5,29.44,POINT (29.44 -26.5),0.0,0.54,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,100.0,91.08,7.44,4.34,64.49
400073,-26.5,29.44,POINT (29.44 -26.5),0.0,0.54,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,100.0,91.08,7.44,4.34,64.49
400074,-26.58,30.09,POINT (30.09 -26.58),0.0,0.95,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.6,0.00493421,0.0,100.0,33.52,6.67,4.05,71.62
400075,-27.42,28.53,POINT (28.53 -27.42),0.0,0.91,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.005938432,0.58,0.00355507,0.0,100.0,26.47,7.01,3.58,70.11
400078,-28.27,28.37,POINT (28.37 -28.27),0.0,0.94,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,100.0,9.95,6.85,3.2,72.42
400079,-28.19,28.34,POINT (28.34 -28.19),0.0,0.95,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.61,0.004367125,0.0,100.0,18.21,6.85,3.16,75.06
400080,-26.3,27.9,POINT (27.9 -26.3),0.15,0.0,0.0,0.08,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,5520.76,6.39,3.74,54.16
400083,-26.35,28.08,POINT (28.08 -26.35),0.26,0.31,0.0,0.13,0.0,0.25,0.02,0.0,0.0,0.0,0.5,0.06,0.007304117,0.0,100.0,2241.61,6.4,3.75,55.3
400084,-26.7,28.93,POINT (28.93 -26.7),0.0,0.23,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,100.0,9.15,7.06,4.05,51.38
400085,-26.42,28.16,POINT (28.16 -26.42),0.26,0.36,0.0,0.16,0.0,0.19,0.0,0.0,0.0,0.0,0.9,0.006503807,0.00840736,0.0,100.0,2065.71,6.46,3.78,59.59
400086,-26.3,28.33,POINT (28.33 -26.3),0.04,0.71,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.3,0.11,0.0,0.0,100.0,369.74,6.46,3.78,59.59
400087,-26.32,28.33,POINT (28.33 -26.32),0.05,0.46,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.66,0.11,0.0,0.0,100.0,3114.02,6.46,3.78,59.59
400088,-26.37,28.23,POINT (28.23 -26.37),0.21,0.42,0.0,0.0031815401312629,0.0,0.35,0.0,0.0,0.0,0.0,0.29,0.1,0.04,0.0,100.0,1088.34,6.46,3.78,59.59
400089,-26.42,28.18,POINT (28.18 -26.42),0.25,0.23,0.0,0.02,0.0,0.48,0.0,0.0,0.0,0.0,0.17,0.16,0.02,0.0,100.0,843.56,6.46,3.78,59.23
400090,-26.28,28.16,POINT (28.16 -26.28),0.14,0.51,0.0,0.12,0.0,0.21,0.0,0.0,0.0,0.0,0.93,0.01,0.01,0.0,100.0,1145.05,6.46,3.78,59.59
400091,-26.4,28.09,POINT (28.09 -26.4),0.28,0.32,0.0,0.12,0.0,0.23,0.03,0.0,0.0,0.0,0.45,0.08,0.006602641,0.0,100.0,2037.06,6.4,3.75,55.6
400097,-26.42,27.68,POINT (27.68 -26.42),0.19,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.04,0.0,100.0,207.56,6.39,3.74,54.16
400099,-26.49,27.69,POINT (27.69 -26.49),0.06,0.55,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.5,0.01,0.0,100.0,117.82,6.39,3.74,54.16
400102,-26.57,27.79,POINT (27.79 -26.57),0.0045923435819023,0.47,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.04,0.26,0.0007458234,0.0,100.0,1178.51,6.49,3.76,48.86
400106,-25.83,28.12,POINT (28.12 -25.83),0.44,0.29,0.0,0.02,0.0,0.007041071715657,0.06,0.14,0.0,0.009015432020449,0.33,0.21,0.003268991,0.0,100.0,803.47,6.51,3.72,48.81
400107,-25.96,28.3,POINT (28.3 -25.96),0.34,0.37,0.0,0.02,0.0,0.02,0.06,0.15,0.0,0.0,0.41,0.18,0.0008187773,0.0,100.0,360.66,6.46,3.77,58.03
400108,-26.01,28.3,POINT (28.3 -26.01),0.27,0.39,0.0,0.03,0.0,0.02,0.07,0.18,0.0,0.0,0.47,0.19,0.0009664948,0.0,100.0,422.88,6.46,3.78,59.59
400109,-26.02,28.31,POINT (28.31 -26.02),0.46,0.39,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.28,0.006696429,0.0,100.0,17.46,6.46,3.78,59.59
400110,-26.05,28.26,POINT (28.26 -26.05),0.04,0.08,0.0,0.02,0.0,0.1,0.1,0.63,0.0,0.0,0.98,0.007352941,0.0,0.0,100.0,1148.48,6.46,3.78,59.59
400111,-25.83,28.12,POINT (28.12 -25.83),0.44,0.29,0.0,0.02,0.0,0.007041071715657,0.06,0.14,0.0,0.009015432020449,0.33,0.21,0.003268991,0.0,100.0,803.47,6.51,3.72,48.81
400112,-25.82,28.08,POINT (28.08 -25.82),0.43,0.25,0.0,0.03,0.0,0.006079705549287,0.05,0.2,0.0,0.01,0.33,0.2,0.002831715,0.0,100.0,749.31,6.51,3.72,47.97
400113,-25.83,28.1,POINT (28.1 -25.83),0.17,0.0,0.0,0.05,0.0,0.0,0.0,0.73,0.0,0.03,0.37,0.13,0.0,0.0,100.0,378.18,6.54,3.69,42.55
400115,-25.83,28.04,POINT (28.04 -25.83),0.22,0.0,0.0,0.08,0.0,0.0,0.0,0.59,0.0,0.09,0.0,0.5,0.0,0.0,100.0,104.03,6.54,3.69,42.55
400116,-25.92,28.22,POINT (28.22 -25.92),0.36,0.0,0.0,0.07,0.0,0.0,0.0,0.56,0.0,0.0,0.62,0.06,0.0008992806,0.0,100.0,3312.5,6.51,3.73,49.17
400117,-25.88,27.93,POINT (27.93 -25.88),0.0005207276073842,0.05,0.0,0.06,0.0,0.01,0.02,0.79,0.03,0.0,0.71,0.11,0.0004021879,0.0,100.0,1266.3,6.49,3.78,51.69
400118,-25.78,28.19,POINT (28.19 -25.78),0.63,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,1047.11,6.54,3.69,42.55
400119,-25.32,27.82,POINT (27.82 -25.32),0.0,0.23,0.0,0.0088748905420444,0.0,0.0,0.0,0.56,0.18,0.0,0.09,0.33,0.0006578948,0.0,100.0,655.79,6.65,4.03,23.19
400120,-25.61,28.09,POINT (28.09 -25.61),0.0,0.23,0.0,0.08,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.19,0.0,0.0,100.0,268.31,6.54,3.69,42.55
400123,-25.52,28.02,POINT (28.02 -25.52),0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.15,0.74,0.0,0.22,0.07,0.0,0.0,100.0,743.64,6.57,3.73,40.41
400125,-25.49,28.02,POINT (28.02 -25.49),0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.37,0.55,0.0,0.27,0.1,0.001943005,0.0,100.0,1155.25,6.57,3.7,39.35
