STAT_ID,Latitude,Longitude,geometry
400338,-32.87,26.89,POINT (26.89 -32.87)
400339,-33.18,27.39,POINT (27.39 -33.18)
400340,-33.06,27.21,POINT (27.21 -33.06)
400341,-32.83,26.99,POINT (26.99 -32.83)
400358,-25.65,28.18,POINT (28.18 -25.65)
400359,-25.73,28.17,POINT (28.17 -25.73)
400360,-25.56,28.22,POINT (28.22 -25.56)
400361,-25.55,28.24,POINT (28.24 -25.55)
400363,-25.5,28.24,POINT (28.24 -25.5)
400365,-25.34,28.27,POINT (28.27 -25.34)
400366,-25.74,28.14,POINT (28.14 -25.74)
400370,-27.74,31.02,POINT (31.02 -27.74)
400371,-27.74,31.02,POINT (31.02 -27.74)
400372,-27.72,31.02,POINT (31.02 -27.72)
400375,-26.55,27.81,POINT (27.81 -26.55)
400376,-26.54,27.8,POINT (27.8 -26.54)
400377,-26.64,27.74,POINT (27.74 -26.64)
400378,-26.78,30.12,POINT (30.12 -26.78)
400381,-28.05,29.95,POINT (29.95 -28.05)
400382,-27.18,29.23,POINT (29.23 -27.18)
400383,-28.07,29.93,POINT (29.93 -28.07)
400384,-28.06,29.84,POINT (29.84 -28.06)
400386,-28.04,29.78,POINT (29.78 -28.04)
400387,-27.02,30.79,POINT (30.79 -27.02)
400392,-27.41,31.12,POINT (31.12 -27.41)
400393,-25.59,28.2,POINT (28.2 -25.59)
400395,-27.72,30.02,POINT (30.02 -27.72)
400396,-27.72,30.05,POINT (30.05 -27.72)
400398,-27.13,30.37,POINT (30.37 -27.13)
400401,-32.74,18.88,POINT (18.88 -32.74)
400402,-31.67,18.66,POINT (18.66 -31.67)
400417,-24.1,28.93,POINT (28.93 -24.1)
400437,-25.95,28.2,POINT (28.2 -25.95)
400438,-26.02,27.72,POINT (27.72 -26.02)
400439,-27.4,30.66,POINT (30.66 -27.4)
400440,-27.37,30.68,POINT (30.68 -27.37)
400441,-27.74,31.01,POINT (31.01 -27.74)
400442,-26.14,27.67,POINT (27.67 -26.14)
400443,-28.7,24.07,POINT (24.07 -28.7)
400444,-28.71,24.07,POINT (24.07 -28.71)
400445,-31.0,26.35,POINT (26.35 -31)
400446,-30.67,26.71,POINT (26.71 -30.67)
400447,-30.16,27.4,POINT (27.4 -30.16)
400448,-30.33,27.35,POINT (27.35 -30.33)
400449,-30.83,26.92,POINT (26.92 -30.83)
400450,-29.53,28.15,POINT (28.15 -29.53)
400451,-29.46,28.63,POINT (28.63 -29.46)
400452,-30.03,27.5,POINT (27.5 -30.03)
400453,-28.69,28.23,POINT (28.23 -28.69)
400454,-28.88,27.89,POINT (27.89 -28.88)
400455,-30.27,26.65,POINT (26.65 -30.27)
400456,-29.6,27.06,POINT (27.06 -29.6)
400457,-29.16,23.69,POINT (23.69 -29.16)
400458,-29.99,24.72,POINT (24.72 -29.99)
400459,-30.58,25.41,POINT (25.41 -30.58)
400460,-30.53,24.96,POINT (24.96 -30.53)
400461,-25.85,25.86,POINT (25.86 -25.85)
400462,-25.86,25.65,POINT (25.65 -25.86)
400463,-31.81,20.57,POINT (20.57 -31.81)
400464,-30.47,20.51,POINT (20.51 -30.47)
400465,-31.43,20.47,POINT (20.47 -31.43)
400466,-31.65,21.76,POINT (21.76 -31.65)
400467,-31.39,20.94,POINT (20.94 -31.39)
400468,-29.65,22.74,POINT (22.74 -29.65)
400469,-28.46,21.24,POINT (21.24 -28.46)
400470,-29.02,22.18,POINT (22.18 -29.02)
400471,-29.18,23.57,POINT (23.57 -29.18)
400472,-28.76,20.72,POINT (20.72 -28.76)
400473,-28.76,17.73,POINT (17.73 -28.76)
400474,-28.73,19.3,POINT (19.3 -28.73)
400475,-28.48,16.69,POINT (16.69 -28.48)
400476,-28.96,19.15,POINT (19.15 -28.96)
400477,-28.56,16.5,POINT (16.5 -28.56)
400478,-32.21,18.93,POINT (18.93 -32.21)
400479,-32.18,18.87,POINT (18.87 -32.18)
400480,-32.59,19.0,POINT (19 -32.59)
400481,-32.5,19.53,POINT (19.53 -32.5)
400482,-31.86,18.68,POINT (18.68 -31.86)
400483,-32.78,19.28,POINT (19.28 -32.78)
400484,-33.11,19.39,POINT (19.39 -33.11)
400485,-33.89,19.07,POINT (19.07 -33.89)
400486,-33.92,19.06,POINT (19.06 -33.92)
400487,-33.31,19.07,POINT (19.07 -33.31)
400488,-33.39,19.17,POINT (19.17 -33.39)
400489,-33.39,19.15,POINT (19.15 -33.39)
400490,-33.35,19.1,POINT (19.1 -33.35)
400491,-33.13,18.86,POINT (18.86 -33.13)
400493,-33.7,18.97,POINT (18.97 -33.7)
400494,-33.18,19.15,POINT (19.15 -33.18)
400495,-32.92,18.32,POINT (18.32 -32.92)
400496,-32.81,18.19,POINT (18.19 -32.81)
400497,-33.13,19.06,POINT (19.06 -33.13)
400498,-33.15,19.05,POINT (19.05 -33.15)
400499,-32.99,18.77,POINT (18.77 -32.99)
400500,-33.06,18.75,POINT (18.75 -33.06)
400501,-33.04,18.83,POINT (18.83 -33.04)
400502,-33.43,18.95,POINT (18.95 -33.43)
400503,-33.94,19.02,POINT (19.02 -33.94)
400504,-33.54,18.92,POINT (18.92 -33.54)
400505,-33.35,18.95,POINT (18.95 -33.35)
400506,-33.47,18.97,POINT (18.97 -33.47)
400507,-33.16,18.89,POINT (18.89 -33.16)
400508,-33.95,18.97,POINT (18.97 -33.95)
400509,-33.97,18.93,POINT (18.93 -33.97)
400510,-33.46,18.74,POINT (18.74 -33.46)
400512,-33.94,18.83,POINT (18.83 -33.94)
400515,-32.6,19.75,POINT (19.75 -32.6)
400522,-33.38,19.3,POINT (19.3 -33.38)
400523,-33.42,19.26,POINT (19.26 -33.42)
400524,-33.56,19.14,POINT (19.14 -33.56)
400525,-33.75,19.33,POINT (19.33 -33.75)
400526,-33.35,19.29,POINT (19.29 -33.35)
400528,-33.72,19.17,POINT (19.17 -33.72)
400529,-33.73,19.11,POINT (19.11 -33.73)
400530,-33.46,19.61,POINT (19.61 -33.46)
400531,-33.57,19.5,POINT (19.5 -33.57)
400533,-33.43,19.56,POINT (19.56 -33.43)
400534,-33.36,19.58,POINT (19.58 -33.36)
400535,-33.7,20.05,POINT (20.05 -33.7)
400536,-33.87,20.0,POINT (20 -33.87)
400537,-33.67,20.01,POINT (20.01 -33.67)
400538,-33.99,19.82,POINT (19.82 -33.99)
400539,-33.94,19.84,POINT (19.84 -33.94)
400540,-33.81,19.69,POINT (19.69 -33.81)
400541,-33.86,19.71,POINT (19.71 -33.86)
400542,-33.81,19.79,POINT (19.79 -33.81)
400545,-33.89,20.01,POINT (20.01 -33.89)
400550,-33.95,19.28,POINT (19.28 -33.95)
400551,-33.91,20.71,POINT (20.71 -33.91)
400552,-33.98,20.42,POINT (20.42 -33.98)
400557,-33.99,20.95,POINT (20.95 -33.99)
400562,-33.35,19.72,POINT (19.72 -33.35)
400563,-33.28,19.72,POINT (19.72 -33.28)
400564,-33.78,21.44,POINT (21.44 -33.78)
400565,-33.69,21.14,POINT (21.14 -33.69)
400566,-33.75,21.44,POINT (21.44 -33.75)
400567,-33.51,20.75,POINT (20.75 -33.51)
400568,-33.29,20.99,POINT (20.99 -33.29)
400569,-33.82,21.13,POINT (21.13 -33.82)
400570,-33.49,21.48,POINT (21.48 -33.49)
400571,-33.49,21.48,POINT (21.48 -33.49)
400572,-33.49,21.51,POINT (21.51 -33.49)
400573,-33.5,21.62,POINT (21.62 -33.5)
400574,-33.3,21.63,POINT (21.63 -33.3)
400575,-32.23,22.58,POINT (22.58 -32.23)
